,Date,Hour,Unit_Consumption,Time,Full_Date,Day_of_Week_Num,Day_of_Week,Weekend,Holiday,AM_PM,Time_of_Day
0,1,0,100,0:00,2023-04-01,5,Saturday,Y,Y,AM,Late_Night
1,1,1,100,1:00,2023-04-01,5,Saturday,Y,Y,AM,Late_Night
2,1,2,100,2:00,2023-04-01,5,Saturday,Y,Y,AM,Late_Night
3,1,3,50,3:00,2023-04-01,5,Saturday,Y,Y,AM,Late_Night
4,1,4,50,4:00,2023-04-01,5,Saturday,Y,Y,AM,Late_Night
5,1,5,50,5:00,2023-04-01,5,Saturday,Y,Y,AM,Late_Night
6,1,6,50,6:00,2023-04-01,5,Saturday,Y,Y,AM,Morning
7,1,7,50,7:00,2023-04-01,5,Saturday,Y,Y,AM,Morning
8,1,8,150,8:00,2023-04-01,5,Saturday,Y,Y,AM,Morning
9,1,9,50,9:00,2023-04-01,5,Saturday,Y,Y,AM,Morning
10,1,10,200,10:00,2023-04-01,5,Saturday,Y,Y,AM,Morning
11,1,11,300,11:00,2023-04-01,5,Saturday,Y,Y,AM,Morning
12,1,12,150,12:00,2023-04-01,5,Saturday,Y,Y,PM,Afternoon
13,1,13,250,13:00,2023-04-01,5,Saturday,Y,Y,PM,Afternoon
14,1,14,100,14:00,2023-04-01,5,Saturday,Y,Y,PM,Afternoon
15,1,15,250,15:00,2023-04-01,5,Saturday,Y,Y,PM,Afternoon
16,1,16,250,16:00,2023-04-01,5,Saturday,Y,Y,PM,Afternoon
17,1,17,200,17:00,2023-04-01,5,Saturday,Y,Y,PM,Afternoon
18,1,18,150,18:00,2023-04-01,5,Saturday,Y,Y,PM,Night
19,1,19,250,19:00,2023-04-01,5,Saturday,Y,Y,PM,Night
20,1,20,250,20:00,2023-04-01,5,Saturday,Y,Y,PM,Night
21,1,21,200,21:00,2023-04-01,5,Saturday,Y,Y,PM,Night
22,1,22,50,22:00,2023-04-01,5,Saturday,Y,Y,PM,Night
23,1,23,350,23:00,2023-04-01,5,Saturday,Y,Y,PM,Night
24,2,0,100,0:00,2023-04-02,6,Sunday,Y,N,AM,Late_Night
25,2,1,50,1:00,2023-04-02,6,Sunday,Y,N,AM,Late_Night
26,2,2,50,2:00,2023-04-02,6,Sunday,Y,N,AM,Late_Night
27,2,3,50,3:00,2023-04-02,6,Sunday,Y,N,AM,Late_Night
28,2,4,50,4:00,2023-04-02,6,Sunday,Y,N,AM,Late_Night
29,2,5,50,5:00,2023-04-02,6,Sunday,Y,N,AM,Late_Night
30,2,6,0,6:00,2023-04-02,6,Sunday,Y,N,AM,Morning
31,2,7,50,7:00,2023-04-02,6,Sunday,Y,N,AM,Morning
32,2,8,100,8:00,2023-04-02,6,Sunday,Y,N,AM,Morning
33,2,9,50,9:00,2023-04-02,6,Sunday,Y,N,AM,Morning
34,2,10,200,10:00,2023-04-02,6,Sunday,Y,N,AM,Morning
35,2,11,250,11:00,2023-04-02,6,Sunday,Y,N,AM,Morning
36,2,12,100,12:00,2023-04-02,6,Sunday,Y,N,PM,Afternoon
37,2,13,250,13:00,2023-04-02,6,Sunday,Y,N,PM,Afternoon
38,2,14,200,14:00,2023-04-02,6,Sunday,Y,N,PM,Afternoon
39,2,15,150,15:00,2023-04-02,6,Sunday,Y,N,PM,Afternoon
40,2,16,200,16:00,2023-04-02,6,Sunday,Y,N,PM,Afternoon
41,2,17,250,17:00,2023-04-02,6,Sunday,Y,N,PM,Afternoon
42,2,18,150,18:00,2023-04-02,6,Sunday,Y,N,PM,Night
43,2,19,250,19:00,2023-04-02,6,Sunday,Y,N,PM,Night
44,2,20,100,20:00,2023-04-02,6,Sunday,Y,N,PM,Night
45,2,21,200,21:00,2023-04-02,6,Sunday,Y,N,PM,Night
46,2,22,100,22:00,2023-04-02,6,Sunday,Y,N,PM,Night
47,2,23,250,23:00,2023-04-02,6,Sunday,Y,N,PM,Night
48,3,0,50,0:00,2023-04-03,0,Monday,N,N,AM,Late_Night
49,3,1,50,1:00,2023-04-03,0,Monday,N,N,AM,Late_Night
50,3,2,50,2:00,2023-04-03,0,Monday,N,N,AM,Late_Night
51,3,3,50,3:00,2023-04-03,0,Monday,N,N,AM,Late_Night
52,3,4,100,4:00,2023-04-03,0,Monday,N,N,AM,Late_Night
53,3,5,50,5:00,2023-04-03,0,Monday,N,N,AM,Late_Night
54,3,6,50,6:00,2023-04-03,0,Monday,N,N,AM,Morning
55,3,7,100,7:00,2023-04-03,0,Monday,N,N,AM,Morning
56,3,8,100,8:00,2023-04-03,0,Monday,N,N,AM,Morning
57,3,9,200,9:00,2023-04-03,0,Monday,N,N,AM,Morning
58,3,10,200,10:00,2023-04-03,0,Monday,N,N,AM,Morning
59,3,11,150,11:00,2023-04-03,0,Monday,N,N,AM,Morning
60,3,12,250,12:00,2023-04-03,0,Monday,N,N,PM,Afternoon
61,3,13,250,13:00,2023-04-03,0,Monday,N,N,PM,Afternoon
62,3,14,100,14:00,2023-04-03,0,Monday,N,N,PM,Afternoon
63,3,15,100,15:00,2023-04-03,0,Monday,N,N,PM,Afternoon
64,3,16,200,16:00,2023-04-03,0,Monday,N,N,PM,Afternoon
65,3,17,200,17:00,2023-04-03,0,Monday,N,N,PM,Afternoon
66,3,18,200,18:00,2023-04-03,0,Monday,N,N,PM,Night
67,3,19,200,19:00,2023-04-03,0,Monday,N,N,PM,Night
68,3,20,150,20:00,2023-04-03,0,Monday,N,N,PM,Night
69,3,21,100,21:00,2023-04-03,0,Monday,N,N,PM,Night
70,3,22,150,22:00,2023-04-03,0,Monday,N,N,PM,Night
71,3,23,100,23:00,2023-04-03,0,Monday,N,N,PM,Night
72,4,0,50,0:00,2023-04-04,1,Tuesday,N,N,AM,Late_Night
73,4,1,50,1:00,2023-04-04,1,Tuesday,N,N,AM,Late_Night
74,4,2,50,2:00,2023-04-04,1,Tuesday,N,N,AM,Late_Night
75,4,3,50,3:00,2023-04-04,1,Tuesday,N,N,AM,Late_Night
76,4,4,50,4:00,2023-04-04,1,Tuesday,N,N,AM,Late_Night
77,4,5,50,5:00,2023-04-04,1,Tuesday,N,N,AM,Late_Night
78,4,6,50,6:00,2023-04-04,1,Tuesday,N,N,AM,Morning
79,4,7,50,7:00,2023-04-04,1,Tuesday,N,N,AM,Morning
80,4,8,100,8:00,2023-04-04,1,Tuesday,N,N,AM,Morning
81,4,9,150,9:00,2023-04-04,1,Tuesday,N,N,AM,Morning
82,4,10,200,10:00,2023-04-04,1,Tuesday,N,N,AM,Morning
83,4,11,250,11:00,2023-04-04,1,Tuesday,N,N,AM,Morning
84,4,12,300,12:00,2023-04-04,1,Tuesday,N,N,PM,Afternoon
85,4,13,200,13:00,2023-04-04,1,Tuesday,N,N,PM,Afternoon
86,4,14,200,14:00,2023-04-04,1,Tuesday,N,N,PM,Afternoon
87,4,15,150,15:00,2023-04-04,1,Tuesday,N,N,PM,Afternoon
88,4,16,150,16:00,2023-04-04,1,Tuesday,N,N,PM,Afternoon
89,4,17,200,17:00,2023-04-04,1,Tuesday,N,N,PM,Afternoon
90,4,18,250,18:00,2023-04-04,1,Tuesday,N,N,PM,Night
91,4,19,50,19:00,2023-04-04,1,Tuesday,N,N,PM,Night
92,4,20,150,20:00,2023-04-04,1,Tuesday,N,N,PM,Night
93,4,21,250,21:00,2023-04-04,1,Tuesday,N,N,PM,Night
94,4,22,150,22:00,2023-04-04,1,Tuesday,N,N,PM,Night
95,4,23,100,23:00,2023-04-04,1,Tuesday,N,N,PM,Night
96,5,0,200,0:00,2023-04-05,2,Wednesday,N,N,AM,Late_Night
97,5,1,50,1:00,2023-04-05,2,Wednesday,N,N,AM,Late_Night
98,5,2,100,2:00,2023-04-05,2,Wednesday,N,N,AM,Late_Night
99,5,3,50,3:00,2023-04-05,2,Wednesday,N,N,AM,Late_Night
100,5,4,50,4:00,2023-04-05,2,Wednesday,N,N,AM,Late_Night
101,5,5,50,5:00,2023-04-05,2,Wednesday,N,N,AM,Late_Night
102,5,6,50,6:00,2023-04-05,2,Wednesday,N,N,AM,Morning
103,5,7,100,7:00,2023-04-05,2,Wednesday,N,N,AM,Morning
104,5,8,100,8:00,2023-04-05,2,Wednesday,N,N,AM,Morning
105,5,9,200,9:00,2023-04-05,2,Wednesday,N,N,AM,Morning
106,5,10,200,10:00,2023-04-05,2,Wednesday,N,N,AM,Morning
107,5,11,100,11:00,2023-04-05,2,Wednesday,N,N,AM,Morning
108,5,12,150,12:00,2023-04-05,2,Wednesday,N,N,PM,Afternoon
109,5,13,100,13:00,2023-04-05,2,Wednesday,N,N,PM,Afternoon
110,5,14,100,14:00,2023-04-05,2,Wednesday,N,N,PM,Afternoon
111,5,15,150,15:00,2023-04-05,2,Wednesday,N,N,PM,Afternoon
112,5,16,200,16:00,2023-04-05,2,Wednesday,N,N,PM,Afternoon
113,5,17,100,17:00,2023-04-05,2,Wednesday,N,N,PM,Afternoon
114,5,18,250,18:00,2023-04-05,2,Wednesday,N,N,PM,Night
115,5,19,50,19:00,2023-04-05,2,Wednesday,N,N,PM,Night
116,5,20,150,20:00,2023-04-05,2,Wednesday,N,N,PM,Night
117,5,21,150,21:00,2023-04-05,2,Wednesday,N,N,PM,Night
118,5,22,50,22:00,2023-04-05,2,Wednesday,N,N,PM,Night
119,5,23,100,23:00,2023-04-05,2,Wednesday,N,N,PM,Night
120,6,0,50,0:00,2023-04-06,3,Thursday,N,Y,AM,Late_Night
121,6,1,50,1:00,2023-04-06,3,Thursday,N,Y,AM,Late_Night
122,6,2,200,2:00,2023-04-06,3,Thursday,N,Y,AM,Late_Night
123,6,3,50,3:00,2023-04-06,3,Thursday,N,Y,AM,Late_Night
124,6,4,50,4:00,2023-04-06,3,Thursday,N,Y,AM,Late_Night
125,6,5,50,5:00,2023-04-06,3,Thursday,N,Y,AM,Late_Night
126,6,6,100,6:00,2023-04-06,3,Thursday,N,Y,AM,Morning
127,6,7,100,7:00,2023-04-06,3,Thursday,N,Y,AM,Morning
128,6,8,200,8:00,2023-04-06,3,Thursday,N,Y,AM,Morning
129,6,9,200,9:00,2023-04-06,3,Thursday,N,Y,AM,Morning
130,6,10,100,10:00,2023-04-06,3,Thursday,N,Y,AM,Morning
131,6,11,200,11:00,2023-04-06,3,Thursday,N,Y,AM,Morning
132,6,12,50,12:00,2023-04-06,3,Thursday,N,Y,PM,Afternoon
133,6,13,250,13:00,2023-04-06,3,Thursday,N,Y,PM,Afternoon
134,6,14,100,14:00,2023-04-06,3,Thursday,N,Y,PM,Afternoon
135,6,15,150,15:00,2023-04-06,3,Thursday,N,Y,PM,Afternoon
136,6,16,250,16:00,2023-04-06,3,Thursday,N,Y,PM,Afternoon
137,6,17,200,17:00,2023-04-06,3,Thursday,N,Y,PM,Afternoon
138,6,18,400,18:00,2023-04-06,3,Thursday,N,Y,PM,Night
139,6,19,150,19:00,2023-04-06,3,Thursday,N,Y,PM,Night
140,6,20,300,20:00,2023-04-06,3,Thursday,N,Y,PM,Night
141,6,21,100,21:00,2023-04-06,3,Thursday,N,Y,PM,Night
142,6,22,150,22:00,2023-04-06,3,Thursday,N,Y,PM,Night
143,6,23,450,23:00,2023-04-06,3,Thursday,N,Y,PM,Night
144,7,0,50,0:00,2023-04-07,4,Friday,N,N,AM,Late_Night
145,7,1,50,1:00,2023-04-07,4,Friday,N,N,AM,Late_Night
146,7,2,50,2:00,2023-04-07,4,Friday,N,N,AM,Late_Night
147,7,3,50,3:00,2023-04-07,4,Friday,N,N,AM,Late_Night
148,7,4,50,4:00,2023-04-07,4,Friday,N,N,AM,Late_Night
149,7,5,50,5:00,2023-04-07,4,Friday,N,N,AM,Late_Night
150,7,6,100,6:00,2023-04-07,4,Friday,N,N,AM,Morning
151,7,7,100,7:00,2023-04-07,4,Friday,N,N,AM,Morning
152,7,8,100,8:00,2023-04-07,4,Friday,N,N,AM,Morning
153,7,9,400,9:00,2023-04-07,4,Friday,N,N,AM,Morning
154,7,10,200,10:00,2023-04-07,4,Friday,N,N,AM,Morning
155,7,11,200,11:00,2023-04-07,4,Friday,N,N,AM,Morning
156,7,12,200,12:00,2023-04-07,4,Friday,N,N,PM,Afternoon
157,7,13,150,13:00,2023-04-07,4,Friday,N,N,PM,Afternoon
158,7,14,200,14:00,2023-04-07,4,Friday,N,N,PM,Afternoon
159,7,15,300,15:00,2023-04-07,4,Friday,N,N,PM,Afternoon
160,7,16,250,16:00,2023-04-07,4,Friday,N,N,PM,Afternoon
161,7,17,200,17:00,2023-04-07,4,Friday,N,N,PM,Afternoon
162,7,18,300,18:00,2023-04-07,4,Friday,N,N,PM,Night
163,7,19,300,19:00,2023-04-07,4,Friday,N,N,PM,Night
164,7,20,400,20:00,2023-04-07,4,Friday,N,N,PM,Night
165,7,21,150,21:00,2023-04-07,4,Friday,N,N,PM,Night
166,7,22,350,22:00,2023-04-07,4,Friday,N,N,PM,Night
167,7,23,100,23:00,2023-04-07,4,Friday,N,N,PM,Night
168,8,0,50,0:00,2023-04-08,5,Saturday,Y,N,AM,Late_Night
169,8,1,250,1:00,2023-04-08,5,Saturday,Y,N,AM,Late_Night
170,8,2,50,2:00,2023-04-08,5,Saturday,Y,N,AM,Late_Night
171,8,3,50,3:00,2023-04-08,5,Saturday,Y,N,AM,Late_Night
172,8,4,50,4:00,2023-04-08,5,Saturday,Y,N,AM,Late_Night
173,8,5,50,5:00,2023-04-08,5,Saturday,Y,N,AM,Late_Night
174,8,6,50,6:00,2023-04-08,5,Saturday,Y,N,AM,Morning
175,8,7,50,7:00,2023-04-08,5,Saturday,Y,N,AM,Morning
176,8,8,50,8:00,2023-04-08,5,Saturday,Y,N,AM,Morning
177,8,9,150,9:00,2023-04-08,5,Saturday,Y,N,AM,Morning
178,8,10,250,10:00,2023-04-08,5,Saturday,Y,N,AM,Morning
179,8,11,100,11:00,2023-04-08,5,Saturday,Y,N,AM,Morning
180,8,12,150,12:00,2023-04-08,5,Saturday,Y,N,PM,Afternoon
181,8,13,200,13:00,2023-04-08,5,Saturday,Y,N,PM,Afternoon
182,8,14,250,14:00,2023-04-08,5,Saturday,Y,N,PM,Afternoon
183,8,15,250,15:00,2023-04-08,5,Saturday,Y,N,PM,Afternoon
184,8,16,200,16:00,2023-04-08,5,Saturday,Y,N,PM,Afternoon
185,8,17,250,17:00,2023-04-08,5,Saturday,Y,N,PM,Afternoon
186,8,18,350,18:00,2023-04-08,5,Saturday,Y,N,PM,Night
187,8,19,200,19:00,2023-04-08,5,Saturday,Y,N,PM,Night
188,8,20,200,20:00,2023-04-08,5,Saturday,Y,N,PM,Night
189,8,21,150,21:00,2023-04-08,5,Saturday,Y,N,PM,Night
190,8,22,200,22:00,2023-04-08,5,Saturday,Y,N,PM,Night
191,8,23,150,23:00,2023-04-08,5,Saturday,Y,N,PM,Night
192,9,0,200,0:00,2023-04-09,6,Sunday,Y,N,AM,Late_Night
193,9,1,100,1:00,2023-04-09,6,Sunday,Y,N,AM,Late_Night
194,9,2,50,2:00,2023-04-09,6,Sunday,Y,N,AM,Late_Night
195,9,3,50,3:00,2023-04-09,6,Sunday,Y,N,AM,Late_Night
196,9,4,50,4:00,2023-04-09,6,Sunday,Y,N,AM,Late_Night
197,9,5,50,5:00,2023-04-09,6,Sunday,Y,N,AM,Late_Night
198,9,6,50,6:00,2023-04-09,6,Sunday,Y,N,AM,Morning
199,9,7,100,7:00,2023-04-09,6,Sunday,Y,N,AM,Morning
200,9,8,350,8:00,2023-04-09,6,Sunday,Y,N,AM,Morning
201,9,9,150,9:00,2023-04-09,6,Sunday,Y,N,AM,Morning
202,9,10,250,10:00,2023-04-09,6,Sunday,Y,N,AM,Morning
203,9,11,350,11:00,2023-04-09,6,Sunday,Y,N,AM,Morning
204,9,12,350,12:00,2023-04-09,6,Sunday,Y,N,PM,Afternoon
205,9,13,100,13:00,2023-04-09,6,Sunday,Y,N,PM,Afternoon
206,9,14,150,14:00,2023-04-09,6,Sunday,Y,N,PM,Afternoon
207,9,15,350,15:00,2023-04-09,6,Sunday,Y,N,PM,Afternoon
208,9,16,250,16:00,2023-04-09,6,Sunday,Y,N,PM,Afternoon
209,9,17,250,17:00,2023-04-09,6,Sunday,Y,N,PM,Afternoon
210,9,18,350,18:00,2023-04-09,6,Sunday,Y,N,PM,Night
211,9,19,250,19:00,2023-04-09,6,Sunday,Y,N,PM,Night
212,9,20,200,20:00,2023-04-09,6,Sunday,Y,N,PM,Night
213,9,21,100,21:00,2023-04-09,6,Sunday,Y,N,PM,Night
214,9,22,150,22:00,2023-04-09,6,Sunday,Y,N,PM,Night
215,9,23,50,23:00,2023-04-09,6,Sunday,Y,N,PM,Night
216,10,0,50,0:00,2023-04-10,0,Monday,N,N,AM,Late_Night
217,10,1,50,1:00,2023-04-10,0,Monday,N,N,AM,Late_Night
218,10,2,50,2:00,2023-04-10,0,Monday,N,N,AM,Late_Night
219,10,3,50,3:00,2023-04-10,0,Monday,N,N,AM,Late_Night
220,10,4,50,4:00,2023-04-10,0,Monday,N,N,AM,Late_Night
221,10,5,50,5:00,2023-04-10,0,Monday,N,N,AM,Late_Night
222,10,6,50,6:00,2023-04-10,0,Monday,N,N,AM,Morning
223,10,7,100,7:00,2023-04-10,0,Monday,N,N,AM,Morning
224,10,8,150,8:00,2023-04-10,0,Monday,N,N,AM,Morning
225,10,9,150,9:00,2023-04-10,0,Monday,N,N,AM,Morning
226,10,10,350,10:00,2023-04-10,0,Monday,N,N,AM,Morning
227,10,11,300,11:00,2023-04-10,0,Monday,N,N,AM,Morning
228,10,12,300,12:00,2023-04-10,0,Monday,N,N,PM,Afternoon
229,10,13,250,13:00,2023-04-10,0,Monday,N,N,PM,Afternoon
230,10,14,100,14:00,2023-04-10,0,Monday,N,N,PM,Afternoon
231,10,15,150,15:00,2023-04-10,0,Monday,N,N,PM,Afternoon
232,10,16,150,16:00,2023-04-10,0,Monday,N,N,PM,Afternoon
233,10,17,200,17:00,2023-04-10,0,Monday,N,N,PM,Afternoon
234,10,18,300,18:00,2023-04-10,0,Monday,N,N,PM,Night
235,10,19,200,19:00,2023-04-10,0,Monday,N,N,PM,Night
236,10,20,100,20:00,2023-04-10,0,Monday,N,N,PM,Night
237,10,21,100,21:00,2023-04-10,0,Monday,N,N,PM,Night
238,10,22,150,22:00,2023-04-10,0,Monday,N,N,PM,Night
239,10,23,150,23:00,2023-04-10,0,Monday,N,N,PM,Night
240,11,0,50,0:00,2023-04-11,1,Tuesday,N,N,AM,Late_Night
241,11,1,50,1:00,2023-04-11,1,Tuesday,N,N,AM,Late_Night
242,11,2,50,2:00,2023-04-11,1,Tuesday,N,N,AM,Late_Night
